stk,date,ret,pb,mv,rf,MarketCapRank,PB_Ratio,Size_Group,PB_Group,SMB,HML,ret_rf,rm,rmxrf,Skewness20,SharpeRatio20,S_VAL_PS,NET_ASSETS_TODAY,VOL20,WVAD
002352.SZ,2020-09-04,0.0083132530120482,2.24641680356374,-0.9333940988932854,1.714,18.0,2.24641680356374,Small,High,-1.6273229330781085,2.3585970005892944,-1.7056867469879518,-0.8749,-2.5889,1.583151839769117,0.3143150214958618,-0.5475418462364761,0.2755488398805026,0.5003099999999947,-168903.42143970134
002352.SZ,2020-09-17,-0.0006389776357826,2.264640714637719,-0.9370571732270416,2.533,37.5,2.264640714637719,Small,High,-1.5947212778358146,2.5068761236807164,-2.533638977635783,-0.4108,-2.9438,1.4827420112361174,0.1802993726185786,-0.5721122445752864,0.2646756393262085,0.5335549999999946,-24153.12656766173
002352.SZ,2020-09-29,0.0020047613081066,2.1923821926787337,-0.8960115058912186,1.155,19.0,2.1923821926787337,Small,High,-1.5275314872234942,2.3556171346290533,-1.1529952386918934,0.2121,-0.9429,-0.1929503364206807,-0.132593705202992,-0.5611445727395248,0.2710179867038099,0.4386399999999947,187475.55869508977
002352.SZ,2020-10-29,-0.0071477980170623,2.2299713380058668,-0.9069763054153952,1.901,18.5,2.2299713380058668,Small,High,-1.762753120950494,2.1516845532444338,-1.9081477980170625,0.1067,-1.7943,0.3561082759626467,0.2282259330498277,-0.5459972032439103,0.2739590923131669,0.3924799999999946,5203.260898770648
002352.SZ,2020-11-04,0.0413261732430541,2.270257840803676,-0.9327420461111148,2.579,18.0,2.270257840803676,Small,High,-1.7725839342864105,2.4761870977683484,-2.5376738267569463,0.1946,-2.3844000000000003,0.0599732740065645,0.2214173432987093,-0.5409614711820018,0.2385250137887587,0.4283349999999946,40895.66595477989
002352.SZ,2021-01-28,-0.0271298428271097,2.234467771982842,-0.9390667657670744,1.772,11.0,2.234467771982842,Small,High,-1.666457644109551,2.640183082362533,-1.7991298428271096,-1.9076,-3.6796,1.090461104031884,0.2294915739068676,-0.5776429918263304,0.2438185806455213,0.5778899999999947,268169.636621771
002352.SZ,2021-02-03,-0.0158878504672898,0.3096124380978158,2.0891062186708576,1.294,210.5,0.3096124380978158,Big,High,-1.9576574987930615,1.738729833418593,-1.3098878504672895,-0.4635,-1.7575,0.9841732933513996,0.2532549815423721,-0.5457321345853313,0.2423249473560304,0.5415649999999947,62589.367469508274
002352.SZ,2021-03-05,-0.0105971061748523,2.2835501794873188,-0.9506954546450792,2.014,11.0,2.2835501794873188,Small,High,-1.6932833256716835,2.01940718612542,-2.024597106174852,-0.043,-2.057,0.8266954308058757,-0.0111041758530433,-0.5566234689805427,0.2292301159551501,0.4815599999999948,-1785.1999224528408
002352.SZ,2021-06-16,-0.0214357646381816,2.2224346247275144,-0.9394003053300288,1.779,11.5,2.2224346247275144,Small,High,-1.9252255422347,2.119462461405932,-1.8004357646381814,-1.0749,-2.8539,0.2436456291545851,-0.0290109952531125,-0.7581225358408211,0.2193581667600105,0.603569999999995,-470547.2775799151
002352.SZ,2021-06-22,-0.0155767611563288,2.240852865400404,-0.9361854411015555,1.468,11.5,2.240852865400404,Small,High,-1.6582630578730808,2.1914380525043318,-1.4835767611563289,0.7999,-0.6680999999999999,0.7336413599357563,0.0572237852136926,-0.757465656972541,0.2313492189438419,0.5812649999999951,-66195.63900751909
002352.SZ,2021-07-16,0.0,2.260021348260562,-0.9361518937932256,1.346,19.5,2.260021348260562,Small,High,-1.7126984594910253,2.222278515920192,-1.346,-0.7094,-2.0554,1.128581788008571,-0.0768917679271146,-0.7758757867132501,0.2310446496567197,0.4515699999999953,166975.89340973512
002352.SZ,2021-07-22,0.0024240465416935,2.2566016060996894,-0.9317991768476794,2.491,19.0,2.2566016060996894,Small,High,-1.6369114667899447,2.350715910399092,-2.4885759534583065,0.3389,-2.1521,1.0039750013651318,-0.3300029961984918,-0.7929057037591746,0.2322419322420542,0.4151949999999953,-286941.49816137186
002352.SZ,2021-07-28,-0.0175870559268378,2.2939889793732404,-0.9378313069027286,2.666,20.0,2.2939889793732404,Small,High,-1.6418394204751707,2.3403609044449647,-2.6835870559268376,-0.5795,-3.2455,0.6621106576756509,-0.4608724835571622,-0.8017424396319841,0.2413791905359796,0.4717399999999953,-586246.8472728278
002352.SZ,2021-08-09,0.0243373895649274,2.2835501794873188,-0.9506954546450792,1.956,11.5,2.2835501794873188,Small,High,-1.756053428974902,2.187061899119452,-1.9316626104350725,1.0528,-0.9032,0.4937911219569585,-0.0747444933995637,-0.7938337465146593,0.2418023460170462,0.503599999999995,114313.29835568386
002352.SZ,2021-12-14,-0.0310700212185511,2.2122301411665792,-0.9321579453567004,2.051,19.5,2.2122301411665792,Small,High,-1.6896022675521665,2.3877919232495746,-2.0820700212185512,-0.5313,-2.5823,0.4181627170438268,0.0278907268453833,-0.7605840005879966,0.6086705475164703,0.4366249999999948,231709.1063247952
002352.SZ,2022-01-07,0.0030706243602864,2.2566016060996894,-0.9317991768476794,1.065,19.0,2.2566016060996894,Small,High,-1.7913981922242428,2.3136642218227554,-1.0619293756397137,-0.1823,-1.2473,-0.4026688888639871,0.1161670300255002,-0.7421531071303001,0.5826703879275564,0.404754999999995,157851.45763301328
002352.SZ,2022-01-13,-0.0280484204310598,2.2566016060996894,-0.9317991768476797,2.265,37.5,2.2566016060996894,Small,High,-1.5853508064064914,2.495007284590061,-2.29304842043106,-1.1723,-3.4373,-0.3506934507616858,0.1563747498518641,-0.7495794287545776,0.5826572868493964,0.3890249999999949,-406970.4506525284
002352.SZ,2022-01-19,-0.0126239855725879,2.2566016060996894,-0.9317991768476794,1.663,19.5,2.2566016060996894,Small,High,-1.6918274189831046,2.313664221822756,-1.6756239855725878,-0.3287,-1.9917,-0.0726225142505055,0.038502674176266,-0.7509722854500182,0.5813602974277305,0.373119999999995,-95401.73326194871
002352.SZ,2022-01-25,-0.0339813255778356,2.277003071072764,-0.9408344599178748,2.448,56.0,2.277003071072764,Small,High,-1.59241291867262,2.495391796488603,-2.481981325577836,-2.5835,-5.031499999999999,-0.0562252866111084,-0.2146493562687114,-0.7474769670644507,0.5773524593891914,0.339474999999995,-168227.49430988304
002352.SZ,2022-07-01,0.003046049095144,2.2894947658644145,-0.9453355701072398,2.922,19.0,2.2894947658644145,Small,High,-1.6328350757168084,2.3189997416615684,-2.9189539509048563,-0.323,-3.245,0.2958323412257062,0.1841246970489304,-0.7834954260968036,0.6289152304407123,0.4840799999999953,849675.2502382203
002466.SZ,2017-03-03,0.0416666666666665,2.073743117971878,0.0543365170551235,2.557,85.0,2.073743117971878,Small,High,-2.03091306186236,2.5368816921620825,-2.5153333333333334,-0.3627,-2.9197,0.3959752034667559,0.3382012078357881,1.991738124947261,-0.8431832526432774,2.04957,292043.1986663649
002466.SZ,2017-05-08,-0.0008882966910948,1.6590327011256003,-0.3232054305594887,2.5832,60.0,1.6590327011256003,Small,High,-1.641004648545779,2.0511076326857927,-2.584088296691095,-0.7871,-3.3703000000000003,0.6279198064846306,-0.0607108449253796,1.7808400928614418,-0.8253502244148232,3.754260000000001,-178562.8813348722
002466.SZ,2017-06-02,0.0062499999999998,1.4728388769013794,-0.3206012195243982,1.157,78.5,1.4728388769013794,Small,High,-2.181861827025148,2.3649037296331104,-1.1507500000000002,0.094,-1.063,0.7587385994885948,-0.2292364956389315,1.520280035036686,-0.8238962346577067,2.333945000000001,-239403.9349872945
002466.SZ,2017-06-08,0.028169014084507,1.5998380529179517,-0.3528128499592053,1.946,59.0,1.5998380529179517,Small,High,-1.8936501299471211,2.3839571613462645,-1.917830985915493,0.3187,-1.6273,0.466719454851356,0.0022099310949178,1.6054925579493795,-0.8236869168446325,2.303595,209655.8718772452
002466.SZ,2017-06-20,0.0805725971370143,1.501123225513704,-0.2741588755794539,2.592,85.0,1.501123225513704,Small,High,-1.978464906573229,2.2498335013712047,-2.511427402862986,-0.1387,-2.7307,0.6706606689563235,0.268166644568239,1.964384226160824,-0.825162086547787,2.7590149999999998,735644.206130375
002466.SZ,2017-08-01,0.0006060606060607,1.571518549460073,-0.3319043221754602,2.005,43.0,1.571518549460073,Small,High,-1.588627020085284,2.08287475740039,-2.004393939393939,0.5991,-1.4059,0.3833234607326927,0.3466403711385644,2.014135313763229,-0.8257728016783045,3.5722699999999983,295871.9702417633
002466.SZ,2017-09-06,0.0208502572434337,1.4262294005567444,-0.3601900082791477,1.995,46.0,1.4262294005567444,Small,High,-1.805590852759236,2.3705975296646544,-1.9741497427565664,0.0317,-1.9633,0.508246854862842,0.2286179988311628,2.0202587202640707,-0.8208758763787304,3.083409999999998,759530.6566734312
002466.SZ,2017-09-11,0.0793943383805135,1.640106898149273,-0.3232404081658822,2.094,77.0,1.640106898149273,Small,High,-2.251035434924517,2.1207150288613104,-2.0146056616194863,0.3321,-1.7618999999999998,0.5538887664231036,0.3724944502367983,2.020347853076327,-0.8197137941729487,3.140209999999998,752801.767024155
002466.SZ,2017-10-30,0.0194160997732426,1.5908788283211095,-0.3243607737349978,2.032,81.5,1.5908788283211095,Small,High,-2.0650850338110147,1.744429692623914,-2.0125839002267574,-0.7748,-2.8068,0.3866360866512594,0.091596562750564,2.0175480283993736,-0.7868697514964125,2.157335,208858.12656044756
002466.SZ,2017-12-11,0.0350699713370425,1.6590327011256003,-0.3232054305594887,1.708,81.5,1.6590327011256003,Small,High,-2.179955578193092,2.054348781686468,-1.6729300286629574,0.9788,-0.7292,-0.8959409619709284,-0.2439611632692374,1.929879062644783,-0.7933413380013984,2.41616,39434.569073949664
002466.SZ,2018-02-05,-0.0394938650306747,1.6320102525293718,-0.3355063825413707,1.819,45.5,1.6320102525293718,Small,High,-1.4475961300268243,1.9914907439174605,-1.8584938650306748,0.7341,-1.0849,-0.2340291612364448,-0.2780261665037917,1.7171227986471458,-0.7994330711849722,1.6614449999999987,246528.8272436268
002466.SZ,2018-03-02,-0.0358100646789715,1.5523830592400047,-0.3484977769591532,2.6,105.5,1.5523830592400047,Small,High,-1.8565558757649945,2.364367600430497,-2.635810064678972,-0.5873,-3.1873,0.8683100087658586,0.309204437398155,1.997535840015758,-0.7255932175031141,2.558089999999999,596171.8500423514
002466.SZ,2018-07-19,-0.0190627482128673,1.4552292673253144,-0.3204014744974919,1.171,45.5,1.4552292673253144,Small,High,-1.5290375532571177,2.0213075517442523,-1.1900627482128674,-0.5278,-1.6988,0.1710987401046876,0.1635705753337468,1.3852271451258436,-0.7343365152723785,1.424824999999997,54556.282576762685
002466.SZ,2018-08-24,-0.0131139110311133,1.5966514963785474,-0.3403818052176168,2.6745,63.5,1.5966514963785474,Small,High,-2.0638871563146948,2.0119828404760494,-2.687613911031113,0.1764,-2.4981,-1.0666620243241407,-0.3505170711683135,0.9734874617958004,-0.7400184838067987,1.1941599999999968,-12945.798127644368
