S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE,S_FA_ROE,Skewness20,WVAD,S_VAL_PS,NET_ASSETS_TODAY,TOT_CUR_LIAB
000100.SZ,2017-12-18,3.94,5.3448,-1.2434182227532056,-1081044.7622838756,0.452,24597430425.0,70975709000.0
000100.SZ,2017-12-19,4.05,5.3448,-1.2379349556296948,-1015404.1117943652,0.4646,24597430425.0,70975709000.0
000100.SZ,2017-12-20,4.0,5.3448,-1.342079528301114,-542826.8015165915,0.4588,24597430425.0,70975709000.0
000100.SZ,2017-12-21,4.07,5.3448,0.109512992606874,-332488.0008499236,0.4669,24597430425.0,70975709000.0
000100.SZ,2017-12-22,4.03,5.3448,0.0958736602014389,-398885.52465945366,0.4623,24597430425.0,70975709000.0
000100.SZ,2017-12-25,3.86,5.3448,-0.1747177598439951,-698829.3779711423,0.49,28631430420.1,70975709000.0
000100.SZ,2017-12-26,3.87,5.3448,-0.1635737281243187,-585133.4279711393,0.4912,28631430420.1,70975709000.0
000100.SZ,2017-12-27,3.84,5.3448,-0.1577887374460784,-1849798.88329582,0.4874,28631430420.1,70975709000.0
000100.SZ,2017-12-28,3.83,5.3448,-0.1766429683737669,-1579444.1410735953,0.4862,28631430420.1,70975709000.0
000100.SZ,2017-12-29,3.9,5.3448,-0.2884801457013669,-1346609.0272402647,0.495,28631430420.1,70975709000.0
000100.SZ,2018-01-02,3.91,5.3448,-0.2446957834524559,-460971.0550974055,0.4963,28631430420.1,70975709000.0
000100.SZ,2018-01-03,3.99,5.3448,-0.4364090147178785,1953083.2303571492,0.5065,28631430420.1,70975709000.0
000100.SZ,2018-01-04,3.96,5.3448,-0.2974686533725621,1720308.5128571494,0.5027,28631430420.1,70975709000.0
000100.SZ,2018-01-05,3.92,5.3448,-0.3573749775381157,1422289.7571428665,0.4976,28631430420.1,70975709000.0
000100.SZ,2018-01-08,3.88,5.3448,-0.1930378750605861,890947.5926984233,0.4925,28631430420.1,70975709000.0
000100.SZ,2018-01-09,4.03,5.3448,0.158064655352682,2109964.214198428,0.5115,28631430420.1,70975709000.0
000100.SZ,2018-01-10,3.99,5.3448,0.1409933667590742,1422505.66794843,0.5065,28631430420.1,70975709000.0
000100.SZ,2018-01-11,3.96,5.3448,0.2841715945433811,-175349.7020515807,0.5027,28631430420.1,70975709000.0
000100.SZ,2018-01-12,4.0,5.3448,0.1106128510002497,688486.4518120545,0.5077,28631430420.1,70975709000.0
000100.SZ,2018-01-15,4.03,5.3448,0.0005681288662643,1856501.8686692044,0.5115,28631430420.1,70975709000.0
000100.SZ,2018-01-16,4.05,5.3448,-0.0904299144114324,1188950.1931136388,0.5141,28631430420.1,70975709000.0
000100.SZ,2018-01-17,3.92,5.3448,-0.081047183285681,-2904008.988664137,0.4976,28631430420.1,70975709000.0
000100.SZ,2018-01-18,3.89,5.3448,-0.1155733792373589,-3361371.687414137,0.4938,28631430420.1,70975709000.0
000100.SZ,2018-01-19,3.89,5.3448,-0.0316690516969616,-2859241.8074141336,0.4938,28631430420.1,70975709000.0
000100.SZ,2018-01-22,3.88,5.3448,-0.0966600176183285,-3490303.2437777687,0.4925,28631430420.1,70975709000.0
000100.SZ,2018-01-23,3.84,5.3448,0.6747207514651361,-4262844.076111114,0.4874,28631430420.1,70975709000.0
000100.SZ,2018-01-24,3.81,5.3448,0.7722823331822014,-3571811.3261111043,0.4836,28631430420.1,70975709000.0
000100.SZ,2018-01-25,3.79,5.3448,0.7569791925753512,-1910229.3716666668,0.4811,28631430420.1,70975709000.0
000100.SZ,2018-01-26,3.72,5.3448,0.7599195997951477,-2713643.17055556,0.4722,28631430420.1,70975709000.0
000100.SZ,2018-01-29,3.6,5.3448,0.6635766759503783,-3731185.7069191937,0.457,28631430420.1,70975709000.0
000100.SZ,2018-01-30,3.62,5.3448,0.6311690415898626,-3343927.076919194,0.4595,28631430420.1,70975709000.0
000100.SZ,2018-01-31,3.57,5.3448,0.8765274765874822,-3571600.1385858557,0.4531,28631430420.1,70975709000.0
000100.SZ,2018-02-01,3.4,5.3448,0.1481041224159841,-4797224.713585853,0.4316,28631430420.1,70975709000.0
000100.SZ,2018-02-02,3.46,5.3448,0.022283610704999,-3514285.846252519,0.4392,28631430420.1,70975709000.0
000100.SZ,2018-02-05,3.48,5.3448,-0.1043267350825416,-1549155.2306969662,0.4417,28631430420.1,70975709000.0
000100.SZ,2018-02-06,3.35,5.3448,-0.7497382374693876,-1169522.8809999991,0.4252,28631430420.1,70975709000.0
000100.SZ,2018-02-07,3.35,5.3448,-0.8219939696838638,-1905297.8655454528,0.4252,28631430420.1,70975709000.0
000100.SZ,2018-02-08,3.47,5.3448,-0.2543468554501416,-527697.5995454511,0.4405,28631430420.1,70975709000.0
000100.SZ,2018-02-09,3.34,5.3448,-0.0704202003870309,589789.9511688324,0.424,28631430420.1,70975709000.0
000100.SZ,2018-02-12,3.41,5.3448,-0.0376071601950338,116111.78050216648,0.4328,28631430420.1,70975709000.0
000100.SZ,2018-02-13,3.41,5.3448,-0.0097425997253184,-519895.5586644991,0.4328,28631430420.1,70975709000.0
000100.SZ,2018-02-14,3.44,5.3448,-0.2194469576129334,500296.986183985,0.4366,28631430420.1,70975709000.0
000100.SZ,2018-02-22,3.47,5.3448,-0.3195030940804123,1242936.2550151518,0.4405,28631430420.1,70975709000.0
000100.SZ,2018-02-23,3.43,5.3448,-0.230995974024445,-139157.26955627988,0.4354,28631430420.1,70975709000.0
000100.SZ,2018-02-26,3.67,5.3448,0.7279600219813559,2919941.9490772607,0.4658,28631430420.1,70975709000.0
000100.SZ,2018-02-27,3.72,5.3448,0.5822177974695277,3545737.930029641,0.4722,28631430420.1,70975709000.0
000100.SZ,2018-02-28,3.75,5.3448,0.4866043903314995,4793195.679672501,0.476,28631430420.1,70975709000.0
000100.SZ,2018-03-01,3.71,5.3448,0.5127447892982412,4546578.1403795695,0.4709,28631430420.1,70975709000.0
000100.SZ,2018-03-02,3.64,5.3448,0.5133029855577534,3873466.298593859,0.462,28631430420.1,70975709000.0
000100.SZ,2018-03-05,3.6,5.3448,0.5276832442761739,3738294.495347111,0.457,28631430420.1,70975709000.0
000100.SZ,2018-03-06,3.79,5.3448,0.4771248490574742,3119840.604076212,0.4811,28631430420.1,70975709000.0
000100.SZ,2018-03-07,3.76,5.3448,0.4584346921009128,2144278.4897904973,0.4773,28631430420.1,70975709000.0
000100.SZ,2018-03-08,3.82,5.3448,0.6154863059341491,1646767.1183619238,0.4849,28631430420.1,70975709000.0
000100.SZ,2018-03-09,3.82,5.3448,0.7295231996923376,1690976.0651873192,0.4849,28631430420.1,70975709000.0
000100.SZ,2018-03-12,3.86,5.3448,0.6981236624593502,2285722.1635964084,0.49,28631430420.1,70975709000.0
000100.SZ,2018-03-13,3.84,5.3448,0.958164940415997,1985123.28086913,0.4874,28631430420.1,70975709000.0
000100.SZ,2018-03-14,3.8,5.3448,0.9779595394406472,160476.06779220386,0.4823,28631430420.1,70975709000.0
000100.SZ,2018-03-15,3.8,5.3448,1.2415060909280846,460515.3797922016,0.4823,28631430420.1,70975709000.0
000100.SZ,2018-03-16,3.81,5.3448,1.778658285151284,60574.33979220432,0.4836,28631430420.1,70975709000.0
000100.SZ,2018-03-19,3.78,5.3448,1.97437108923904,-395089.7309220769,0.4798,28631430420.1,70975709000.0
000100.SZ,2018-03-20,3.75,5.3448,1.9750781581572572,-710846.9018311684,0.476,28631430420.1,70975709000.0
000100.SZ,2018-03-21,3.7,5.3448,2.014824850111068,-301011.0963766199,0.4697,28631430420.1,70975709000.0
000100.SZ,2018-03-22,3.65,5.3448,2.072506557701522,-972004.83637662,0.4633,28631430420.1,70975709000.0
000100.SZ,2018-03-23,3.49,5.3448,1.40799312639746,-1402364.3646924044,0.443,28631430420.1,70975709000.0
000100.SZ,2018-03-26,3.43,5.3448,1.0105700460227642,-1293059.0079066944,0.4354,28631430420.1,70975709000.0
000100.SZ,2018-03-27,3.47,5.3448,1.0290878070064655,-1166607.2629066918,0.4405,28631430420.1,70975709000.0
000100.SZ,2018-03-28,3.42,5.3448,1.2120296988488577,-1294376.3479066945,0.4341,28631430420.1,70975709000.0
000100.SZ,2018-03-29,3.46,5.3448,1.00094739734212,-527960.318815788,0.4392,28631430420.1,70975709000.0
000100.SZ,2018-03-30,3.47,5.3448,0.8944525416143023,143033.42118421197,0.4405,28631430420.1,70975709000.0
000100.SZ,2018-04-02,3.51,5.3448,0.705410146123959,664984.0303571399,0.4455,28631430420.1,70975709000.0
000100.SZ,2018-04-03,3.44,5.3448,-0.8365567092889878,96859.86785714111,0.4366,28631430420.1,70975709000.0
000100.SZ,2018-04-04,3.44,5.3448,-0.9234508902652288,45761.57071428176,0.4366,28631430420.1,70975709000.0
000100.SZ,2018-04-09,3.4,5.3448,-0.9535359638591758,30592.190714284632,0.4316,28631430420.1,70975709000.0
000100.SZ,2018-04-10,3.47,5.3448,-0.6403672989223852,109216.3262698422,0.4405,28631430420.1,70975709000.0
000100.SZ,2018-04-11,3.47,5.3448,-0.6394954390607092,109216.3262698422,0.4405,28631430420.1,70975709000.0
000100.SZ,2018-04-12,3.45,5.3448,-0.6326287470724632,-466095.23058729817,0.4379,28631430420.1,70975709000.0
000100.SZ,2018-04-13,3.45,5.3448,-0.7497340106989989,-493587.7355873012,0.4379,28725426000.0,70975709000.0
000100.SZ,2018-04-16,3.39,5.3448,-0.5562932586113436,-635944.5984444458,0.4303,28725426000.0,70975709000.0
000100.SZ,2018-04-17,3.35,5.3448,-0.4133331197994137,-850308.1905873024,0.4252,28725426000.0,70975709000.0
000100.SZ,2018-04-18,3.27,5.3448,-0.2874330144351726,-1807161.6961428588,0.4151,28725426000.0,70975709000.0
000100.SZ,2018-04-19,3.3,5.3448,-0.3800177251088513,-1468738.6148928604,0.4189,28725426000.0,70975709000.0
000100.SZ,2018-04-20,3.22,5.3448,-0.3140247122221805,-1937999.210892859,0.4087,28725426000.0,70975709000.0
000100.SZ,2018-04-23,3.23,5.3448,-0.4659387044660585,-1531225.9201785736,0.41,28725426000.0,70975709000.0
000100.SZ,2018-04-24,3.28,5.3448,-0.0220587145833329,-759997.1801785745,0.4163,28725426000.0,70975709000.0
000100.SZ,2018-04-25,3.33,5.3448,-0.2192901725291336,131021.69696428522,0.4227,28725426000.0,70975709000.0
000100.SZ,2018-04-26,3.28,5.3448,-0.0037520650628915,523285.1607142824,0.4163,28725426000.0,70975709000.0
000100.SZ,2018-04-27,3.25,5.3448,-0.0378427677575563,-117196.7662500029,0.4125,28725426000.0,70975709000.0
000100.SZ,2018-05-02,3.26,5.3448,0.002210041163529,535744.9937499953,0.3949,31104776634.0,70975709000.0
000100.SZ,2018-05-03,3.35,5.3448,0.2088117256241706,950477.961881866,0.4058,31104776634.0,70975709000.0
000100.SZ,2018-05-04,3.31,5.3448,0.4192699064050053,120936.07188187104,0.4009,31104776634.0,70975709000.0
000100.SZ,2018-05-07,3.35,5.3448,0.2269763287077185,-204599.28011813105,0.4058,31104776634.0,70975709000.0
000100.SZ,2018-05-08,3.38,5.3448,0.1373466909435021,371824.6761318676,0.4094,31104776634.0,70975709000.0
000100.SZ,2018-05-09,3.34,5.3448,0.1381145160490228,496572.1904175822,0.4046,31104776634.0,70975709000.0
000100.SZ,2018-05-10,3.33,5.3448,0.2386327583041681,274338.1544175813,0.4034,31104776634.0,70975709000.0
000100.SZ,2018-05-11,3.3,5.3448,0.3339233076610433,-575377.9927619067,0.3997,31104776634.0,70975709000.0
000100.SZ,2018-05-14,3.31,5.3448,0.2321491810947585,-15717.235261906111,0.4009,31104776634.0,70975709000.0
000100.SZ,2018-05-15,3.3,5.3448,0.2679963854240759,-343851.26326190965,0.3997,31104776634.0,70975709000.0
000100.SZ,2018-05-16,3.27,5.3448,0.2612432097706887,-1034726.9632619028,0.3971,31168234526.52,70975709000.0
000100.SZ,2018-05-17,3.23,5.3448,0.2624178998721012,-1313303.073499999,0.3922,31168234526.52,70975709000.0
